"src(partition,col,length,network,diameter=1000)","dest(partition,col,length,network,diameter=1000)",network
"('10', 8, 1, 1000)","('10', 4, 1, 1000)",7
"('10', 9, 1, 1000)","('10', 2, 1, 1000)",7
"('10', 11, 1, 1000)","('10', 2, 1, 1000)",7
"('10', 13, 1, 1000)","('10', 2, 1, 1000)",12
"('10', 14, 1, 1000)","('10', 5, 1, 1000)",14
"('10', 15, 1, 1000)","('10', 19, 1, 1000)",14
"('10', 17, 1, 1000)","('9', 26, 1, 1000)",14
"('10', 18, 1, 1000)","('10', 5, 1, 1000)",14
"('10', 19, 1, 1000)","('10', 5, 1, 1000)",14
"('10', 20, 1, 1000)","('10', 4, 1, 1000)",14
"('12', 4, 1, 1000)","('9', 4, 1, 1000)",4
"('12', 8, 1, 1000)","('2', 12, 1, 1000)",5
"('12', 10, 1, 1000)","('12', 8, 1, 1000)",8
"('12', 12, 1, 1000)","('2', 10, 1, 1000)",8
"('12', 20, 1, 1000)","('12', 3, 1, 1000)",10
"('12', 23, 1, 1000)","('12', 8, 1, 1000)",14
"('12', 25, 1, 1000)","('12', 8, 1, 1000)",14
"('12', 26, 1, 1000)","('12', 3, 1, 1000)",14
"('12', 27, 1, 1000)","('12', 10, 1, 1000)",14
"('13', 0, 1, 1000)","('9', 36, 1, 1000)",5
"('13', 1, 1, 1000)","('2', 46, 1, 1000)",10
"('13', 2, 1, 1000)","('13', 0, 1, 1000)",10
"('16', 4, 1, 1000)","('16', 5, 1, 1000)",14
"('17', 1, 1, 1000)","('9', 30, 1, 1000)",13
"('17', 2, 1, 1000)","('17', 1, 1, 1000)",13
"('17', 3, 1, 1000)","('17', 1, 1, 1000)",13
"('17', 4, 1, 1000)","('17', 1, 1, 1000)",13
