partition,length,color
1,42,white
2,1,white
3,6,white
4,35,white
5,1,white
6,2,white
7,2,white
8,43,white
9,1,white
10,10,white
11,48,white
12,17,white
13,1,white
14,1,white
15,1,white
16,45,white
17,1,white
18,3,white
19,1,white
20,2,white
21,1,white
