"src(partition,col,length,network,diameter=1000)","dest(partition,col,length,network,diameter=1000)",network
"('16', 6, 1, 1000)","('16', 10, 1, 1000)",14
"('16', 7, 1, 1000)","('16', 0, 1, 1000)",14
"('16', 8, 1, 1000)","('16', 0, 1, 1000)",14
"('16', 9, 1, 1000)","('16', 0, 1, 1000)",14
"('16', 10, 1, 1000)","('16', 1, 1, 1000)",14
"('18', 0, 1, 1000)","('9', 0, 1, 1000)",5
"('18', 1, 1, 1000)","('9', 0, 1, 1000)",5
"('18', 3, 1, 1000)","('18', 0, 1, 1000)",5
"('18', 4, 1, 1000)","('1', 0, 1, 1000)",6
"('18', 5, 1, 1000)","('1', 0, 1, 1000)",6
"('18', 7, 1, 1000)","('18', 0, 1, 1000)",7
"('18', 8, 1, 1000)","('1', 11, 1, 1000)",7
"('18', 9, 1, 1000)","('1', 11, 1, 1000)",7
"('18', 10, 1, 1000)","('1', 0, 1, 1000)",7
"('18', 11, 1, 1000)","('1', 0, 1, 1000)",7
"('18', 12, 1, 1000)","('1', 11, 1, 1000)",7
"('18', 13, 1, 1000)","('9', 1, 1, 1000)",7
"('18', 14, 1, 1000)","('18', 1, 1, 1000)",7
"('18', 15, 1, 1000)","('18', 3, 1, 1000)",7
"('18', 16, 1, 1000)","('18', 9, 1, 1000)",7
"('18', 17, 1, 1000)","('1', 0, 1, 1000)",7
"('18', 18, 1, 1000)","('1', 0, 1, 1000)",7
"('18', 19, 1, 1000)","('18', 9, 1, 1000)",7
"('18', 20, 1, 1000)","('1', 0, 1, 1000)",7
"('18', 21, 1, 1000)","('2', 1, 1, 1000)",7
"('18', 22, 1, 1000)","('18', 13, 1, 1000)",7
"('18', 23, 1, 1000)","('1', 0, 1, 1000)",7
"('18', 24, 1, 1000)","('1', 0, 1, 1000)",7
"('18', 25, 1, 1000)","('18', 9, 1, 1000)",7
"('18', 26, 1, 1000)","('1', 0, 1, 1000)",7
"('18', 27, 1, 1000)","('1', 0, 1, 1000)",7
"('18', 28, 1, 1000)","('1', 0, 1, 1000)",7
"('18', 29, 1, 1000)","('18', 9, 1, 1000)",7
"('18', 30, 1, 1000)","('18', 3, 1, 1000)",7
"('18', 31, 1, 1000)","('1', 0, 1, 1000)",7
"('18', 32, 1, 1000)","('1', 11, 1, 1000)",7
"('18', 33, 1, 1000)","('1', 0, 1, 1000)",7
"('18', 34, 1, 1000)","('1', 0, 1, 1000)",7
"('18', 35, 1, 1000)","('18', 15, 1, 1000)",8
"('18', 36, 1, 1000)","('1', 4, 1, 1000)",12
"('18', 37, 1, 1000)","('1', 0, 1, 1000)",12
"('18', 38, 1, 1000)","('18', 7, 1, 1000)",12
"('18', 39, 1, 1000)","('1', 0, 1, 1000)",12
"('18', 40, 1, 1000)","('18', 16, 1, 1000)",12
"('18', 41, 1, 1000)","('18', 26, 1, 1000)",14
"('18', 42, 1, 1000)","('18', 15, 1, 1000)",14
"('18', 43, 1, 1000)","('1', 0, 1, 1000)",14
"('18', 44, 1, 1000)","('1', 0, 1, 1000)",14
"('18', 45, 1, 1000)","('1', 0, 1, 1000)",14
"('19', 4, 1, 1000)","('10', 5, 1, 1000)",5
"('19', 9, 1, 1000)","('19', 3, 1, 1000)",5
"('19', 10, 1, 1000)","('10', 7, 1, 1000)",5
"('19', 11, 1, 1000)","('10', 6, 1, 1000)",5
"('19', 12, 1, 1000)","('19', 3, 1, 1000)",5
"('20', 0, 1, 1000)","('20', 1, 1, 1000)",1
"('20', 1, 1, 1000)","('1', 0, 1, 1000)",1
"('20', 2, 1, 1000)","('20', 1, 1, 1000)",1
"('20', 3, 1, 1000)","('1', 0, 1, 1000)",1
"('20', 4, 1, 1000)","('20', 1, 1, 1000)",1
"('20', 5, 1, 1000)","('20', 1, 1, 1000)",3
"('20', 6, 1, 1000)","('20', 3, 1, 1000)",3
"('20', 7, 1, 1000)","('1', 6, 1, 1000)",3
"('20', 8, 1, 1000)","('20', 1, 1, 1000)",3
"('20', 10, 1, 1000)","('20', 4, 1, 1000)",3
"('20', 11, 1, 1000)","('20', 1, 1, 1000)",3
"('20', 16, 1, 1000)","('20', 11, 1, 1000)",3
"('20', 19, 1, 1000)","('10', 6, 1, 1000)",5
