partition,length,color
1,33,white
2,4,white
3,1,white
4,11,white
5,23,white
6,2,white
7,2,white
8,2,white
9,12,white
10,26,white
11,1,white
12,1,white
13,1,white
14,1,white
15,2,white
16,11,white
17,1,white
18,47,white
19,14,white
20,55,white
21,1,white
22,1,white
23,1,white
24,5,white
25,1,white
26,1,white
27,1,white
28,1,white
29,1,white
30,1,white
