partition,col,length,network
1,0,23,1
1,25,5,3
1,32,3,12
2,1,21,5
2,23,10,8
2,34,9,9
2,44,5,10
3,0,4,1
3,5,1,2
3,7,2,3
3,10,6,4
3,17,4,5
3,22,1,8
6,0,1,5
7,0,1,5
7,2,1,14
8,0,1,5
9,3,2,4
9,6,14,5
9,21,4,6
9,26,19,7
9,46,6,8
9,53,1,9
9,55,3,11
9,59,4,12
9,64,1,14
10,1,10,7
10,14,6,14
12,1,2,3
12,4,2,4
12,7,2,5
12,10,2,8
12,13,4,9
12,18,3,10
12,23,4,14
13,1,1,10
16,0,1,5
16,3,2,14
17,1,3,13
17,5,2,14
