partition,col,length,network
2,0,13,1
2,14,2,3
2,17,9,5
2,27,5,8
2,33,5,9
2,40,1,12
2,42,3,14
13,1,1,4
13,3,12,5
13,16,3,6
13,21,6,8
13,28,2,9
13,31,2,11
17,0,1,5
20,0,7,1
20,8,2,2
20,11,1,3
20,13,1,4
20,16,22,7
20,39,5,8
20,46,6,12
20,53,2,14
43,0,2,13
46,0,6,1
46,8,2,3
46,11,4,4
46,16,18,5
46,36,4,7
46,41,1,8
46,43,2,9
46,47,9,14
47,0,7,5
47,9,1,8
47,12,1,11
47,15,5,14
