partition,col,length,network
4,0,1,1
7,0,1,1
7,2,4,2
7,7,10,3
7,18,8,4
7,27,5,5
7,33,9,7
7,43,1,8
7,45,7,9
10,0,3,1
10,5,3,5
10,9,3,7
10,13,5,8
10,20,1,13
10,22,3,14
22,0,3,5
22,4,2,6
22,7,2,7
26,0,9,1
26,10,1,3
26,12,1,4
26,14,9,5
26,24,1,7
26,26,6,8
26,33,4,9
26,38,3,10
26,42,3,11
26,46,4,12
26,52,5,14
37,0,2,1
37,4,7,5
37,12,3,7
37,16,2,10
37,20,1,12
37,23,7,14
38,0,4,1
38,5,15,5
38,22,4,7
38,27,5,8
38,33,2,9
38,36,1,10
38,39,8,14
