"src(partition,col,END_COL,diameter=1000)","dest(partition,col,END_COL,diameter=1000)",network
"('10', 13, 14, 1000)","('18', 27, 28, 1000)",8
"('10', 14, 15, 1000)","('10', 10, 11, 1000)",8
"('10', 15, 16, 1000)","('10', 14, 15, 1000)",8
"('10', 16, 17, 1000)","('10', 0, 1, 1000)",8
"('10', 17, 18, 1000)","('10', 3, 4, 1000)",8
"('10', 18, 19, 1000)","('10', 14, 15, 1000)",8
"('10', 19, 20, 1000)","('10', 12, 13, 1000)",8
"('10', 20, 21, 1000)","('10', 10, 11, 1000)",8
"('10', 21, 22, 1000)","('10', 15, 16, 1000)",9
"('10', 22, 23, 1000)","('10', 6, 7, 1000)",9
"('10', 23, 24, 1000)","('10', 8, 9, 1000)",9
"('10', 24, 25, 1000)","('10', 4, 5, 1000)",9
"('10', 25, 26, 1000)","('10', 8, 9, 1000)",9
"('15', 0, 1, 1000)","('15', 1, 2, 1000)",5
"('15', 1, 2, 1000)","('15', 0, 1, 1000)",5
"('16', 0, 1, 1000)","('18', 26, 27, 1000)",5
"('16', 1, 2, 1000)","('1', 11, 12, 1000)",7
"('16', 2, 3, 1000)","('20', 5, 6, 1000)",13
"('16', 3, 4, 1000)","('18', 33, 34, 1000)",13
"('16', 4, 5, 1000)","('18', 13, 14, 1000)",13
"('16', 5, 6, 1000)","('9', 5, 6, 1000)",13
"('16', 6, 7, 1000)","('16', 10, 11, 1000)",14
"('16', 7, 8, 1000)","('16', 0, 1, 1000)",14
"('16', 8, 9, 1000)","('16', 0, 1, 1000)",14
"('16', 9, 10, 1000)","('16', 0, 1, 1000)",14
"('16', 10, 11, 1000)","('16', 1, 2, 1000)",14
"('18', 0, 1, 1000)","('9', 0, 1, 1000)",5
"('18', 1, 2, 1000)","('9', 0, 1, 1000)",5
"('18', 2, 3, 1000)","('18', 6, 7, 1000)",5
"('18', 3, 4, 1000)","('18', 0, 1, 1000)",5
"('18', 4, 5, 1000)","('1', 0, 1, 1000)",6
"('18', 5, 6, 1000)","('1', 0, 1, 1000)",6
"('18', 6, 7, 1000)","('18', 2, 3, 1000)",7
"('18', 7, 8, 1000)","('18', 0, 1, 1000)",7
"('18', 8, 9, 1000)","('1', 11, 12, 1000)",7
"('18', 9, 10, 1000)","('1', 11, 12, 1000)",7
"('18', 10, 11, 1000)","('1', 0, 1, 1000)",7
"('18', 11, 12, 1000)","('1', 0, 1, 1000)",7
"('18', 12, 13, 1000)","('1', 11, 12, 1000)",7
"('18', 13, 14, 1000)","('9', 1, 2, 1000)",7
"('18', 14, 15, 1000)","('18', 1, 2, 1000)",7
"('18', 15, 16, 1000)","('18', 3, 4, 1000)",7
"('18', 16, 17, 1000)","('18', 9, 10, 1000)",7
"('18', 17, 18, 1000)","('1', 0, 1, 1000)",7
"('18', 18, 19, 1000)","('1', 0, 1, 1000)",7
"('18', 19, 20, 1000)","('18', 9, 10, 1000)",7
"('18', 20, 21, 1000)","('1', 0, 1, 1000)",7
"('18', 21, 22, 1000)","('2', 1, 2, 1000)",7
"('18', 22, 23, 1000)","('18', 13, 14, 1000)",7
"('18', 23, 24, 1000)","('1', 0, 1, 1000)",7
"('18', 24, 25, 1000)","('1', 0, 1, 1000)",7
"('18', 25, 26, 1000)","('18', 9, 10, 1000)",7
"('18', 26, 27, 1000)","('1', 0, 1, 1000)",7
"('18', 27, 28, 1000)","('1', 0, 1, 1000)",7
"('18', 28, 29, 1000)","('1', 0, 1, 1000)",7
"('18', 29, 30, 1000)","('18', 9, 10, 1000)",7
"('18', 30, 31, 1000)","('18', 3, 4, 1000)",7
"('18', 31, 32, 1000)","('1', 0, 1, 1000)",7
"('18', 32, 33, 1000)","('1', 11, 12, 1000)",7
"('18', 33, 34, 1000)","('1', 0, 1, 1000)",7
"('18', 34, 35, 1000)","('1', 0, 1, 1000)",7
"('18', 35, 36, 1000)","('18', 15, 16, 1000)",8
"('18', 36, 37, 1000)","('1', 4, 5, 1000)",12
"('18', 37, 38, 1000)","('1', 0, 1, 1000)",12
"('18', 38, 39, 1000)","('18', 7, 8, 1000)",12
"('18', 39, 40, 1000)","('1', 0, 1, 1000)",12
"('18', 40, 41, 1000)","('18', 16, 17, 1000)",12
"('18', 41, 42, 1000)","('18', 26, 27, 1000)",14
"('18', 42, 43, 1000)","('18', 15, 16, 1000)",14
"('18', 43, 44, 1000)","('1', 0, 1, 1000)",14
"('18', 44, 45, 1000)","('1', 0, 1, 1000)",14
"('18', 45, 46, 1000)","('1', 0, 1, 1000)",14
"('18', 46, 47, 1000)","('18', 2, 3, 1000)",14
"('19', 0, 1, 1000)","('19', 1, 2, 1000)",5
"('19', 1, 2, 1000)","('19', 0, 1, 1000)",5
"('19', 3, 4, 1000)","('19', 1, 2, 1000)",5
"('19', 4, 5, 1000)","('10', 5, 6, 1000)",5
