"src(partition,col,END_COL,diameter=1000)","dest(partition,col,END_COL,diameter=1000)",network
"('15', 1, 1.25, 1000)","('15', 0, 0.25, 1000)",5
"('15', 2, 2.25, 1000)","('15', 0, 0.25, 1000)",5
"('15', 3, 3.25, 1000)","('15', 0, 0.25, 1000)",6
"('16', 0, 0.25, 1000)","('16', 1, 1.25, 1000)",5
"('16', 1, 1.25, 1000)","('16', 0, 0.25, 1000)",8
"('16', 2, 2.25, 1000)","('16', 0, 0.25, 1000)",8
"('24', 0, 0.25, 1000)","('24', 4, 4.25, 1000)",1
"('24', 1, 1.25, 1000)","('24', 2, 2.25, 1000)",7
"('24', 2, 2.25, 1000)","('24', 1, 1.25, 1000)",7
"('24', 3, 3.25, 1000)","('24', 1, 1.25, 1000)",7
"('24', 4, 4.25, 1000)","('24', 0, 0.25, 1000)",7
"('24', 5, 5.25, 1000)","('24', 0, 0.25, 1000)",8
"('24', 6, 6.25, 1000)","('24', 0, 0.25, 1000)",8
"('24', 7, 7.25, 1000)","('24', 0, 0.25, 1000)",8
"('24', 8, 8.25, 1000)","('24', 6, 6.25, 1000)",8
"('28', 0, 0.25, 1000)","('28', 2, 2.25, 1000)",1
"('28', 1, 1.25, 1000)","('28', 12, 12.25, 1000)",1
"('28', 2, 2.25, 1000)","('28', 0, 0.25, 1000)",1
"('28', 3, 3.25, 1000)","('28', 0, 0.25, 1000)",1
"('28', 4, 4.25, 1000)","('28', 0, 0.25, 1000)",1
"('28', 5, 5.25, 1000)","('28', 0, 0.25, 1000)",1
"('28', 6, 6.25, 1000)","('28', 0, 0.25, 1000)",2
"('28', 7, 7.25, 1000)","('28', 9, 9.25, 1000)",2
"('28', 8, 8.25, 1000)","('28', 0, 0.25, 1000)",2
"('28', 9, 9.25, 1000)","('1', 3, 3.25, 1000)",3
"('28', 10, 10.25, 1000)","('28', 0, 0.25, 1000)",3
"('28', 11, 11.25, 1000)","('33', 0, 0.25, 1000)",3
"('28', 12, 12.25, 1000)","('28', 0, 0.25, 1000)",3
"('28', 13, 13.25, 1000)","('28', 0, 0.25, 1000)",3
"('28', 14, 14.25, 1000)","('33', 0, 0.25, 1000)",3
"('28', 15, 15.25, 1000)","('28', 0, 0.25, 1000)",3
"('28', 16, 16.25, 1000)","('28', 0, 0.25, 1000)",3
"('28', 17, 17.25, 1000)","('28', 10, 10.25, 1000)",3
"('28', 18, 18.25, 1000)","('28', 6, 6.25, 1000)",3
"('28', 19, 19.25, 1000)","('28', 6, 6.25, 1000)",3
"('28', 20, 20.25, 1000)","('28', 0, 0.25, 1000)",3
"('28', 21, 21.25, 1000)","('28', 5, 5.25, 1000)",3
"('28', 22, 22.25, 1000)","('28', 3, 3.25, 1000)",4
"('28', 23, 23.25, 1000)","('28', 0, 0.25, 1000)",4
"('28', 24, 24.25, 1000)","('28', 4, 4.25, 1000)",4
"('28', 25, 25.25, 1000)","('33', 0, 0.25, 1000)",4
"('28', 26, 26.25, 1000)","('33', 0, 0.25, 1000)",4
"('28', 27, 27.25, 1000)","('33', 0, 0.25, 1000)",4
"('28', 28, 28.25, 1000)","('28', 0, 0.25, 1000)",4
"('28', 29, 29.25, 1000)","('28', 0, 0.25, 1000)",4
"('28', 30, 30.25, 1000)","('36', 2, 2.25, 1000)",5
"('28', 31, 31.25, 1000)","('28', 3, 3.25, 1000)",7
"('28', 32, 32.25, 1000)","('28', 3, 3.25, 1000)",7
"('28', 33, 33.25, 1000)","('28', 3, 3.25, 1000)",7
"('28', 34, 34.25, 1000)","('33', 1, 1.25, 1000)",7
"('28', 35, 35.25, 1000)","('33', 0, 0.25, 1000)",7
"('28', 36, 36.25, 1000)","('28', 0, 0.25, 1000)",7
"('28', 37, 37.25, 1000)","('28', 0, 0.25, 1000)",8
"('28', 38, 38.25, 1000)","('33', 0, 0.25, 1000)",8
"('28', 39, 39.25, 1000)","('28', 0, 0.25, 1000)",8
"('28', 40, 40.25, 1000)","('28', 0, 0.25, 1000)",8
"('28', 41, 41.25, 1000)","('28', 0, 0.25, 1000)",9
"('28', 42, 42.25, 1000)","('28', 6, 6.25, 1000)",9
"('28', 43, 43.25, 1000)","('28', 4, 4.25, 1000)",9
"('28', 44, 44.25, 1000)","('28', 0, 0.25, 1000)",9
"('28', 45, 45.25, 1000)","('28', 0, 0.25, 1000)",9
"('28', 46, 46.25, 1000)","('28', 0, 0.25, 1000)",10
"('28', 47, 47.25, 1000)","('28', 46, 46.25, 1000)",11
"('28', 48, 48.25, 1000)","('28', 3, 3.25, 1000)",12
"('28', 49, 49.25, 1000)","('28', 0, 0.25, 1000)",12
"('28', 50, 50.25, 1000)","('28', 0, 0.25, 1000)",12
"('28', 51, 51.25, 1000)","('12', 1, 1.25, 1000)",14
"('32', 0, 0.25, 1000)","('32', 1, 1.25, 1000)",11
"('32', 1, 1.25, 1000)","('32', 0, 0.25, 1000)",11
"('32', 2, 2.25, 1000)","('32', 1, 1.25, 1000)",12
"('33', 0, 0.25, 1000)","('28', 0, 0.25, 1000)",1
"('33', 1, 1.25, 1000)","('28', 16, 16.25, 1000)",1
"('33', 2, 2.25, 1000)","('33', 0, 0.25, 1000)",2
"('33', 3, 3.25, 1000)","('33', 0, 0.25, 1000)",2
"('33', 4, 4.25, 1000)","('33', 0, 0.25, 1000)",4
"('33', 5, 5.25, 1000)","('33', 0, 0.25, 1000)",5
"('33', 6, 6.25, 1000)","('33', 0, 0.25, 1000)",5
"('33', 7, 7.25, 1000)","('33', 0, 0.25, 1000)",5
"('33', 8, 8.25, 1000)","('28', 0, 0.25, 1000)",5
"('33', 9, 9.25, 1000)","('28', 0, 0.25, 1000)",5
"('33', 10, 10.25, 1000)","('28', 0, 0.25, 1000)",5
"('33', 11, 11.25, 1000)","('33', 0, 0.25, 1000)",6
"('33', 12, 12.25, 1000)","('28', 0, 0.25, 1000)",7
"('33', 13, 13.25, 1000)","('33', 0, 0.25, 1000)",7
"('33', 14, 14.25, 1000)","('33', 0, 0.25, 1000)",7
"('33', 15, 15.25, 1000)","('12', 1, 1.25, 1000)",9
"('33', 16, 16.25, 1000)","('33', 0, 0.25, 1000)",9
"('33', 17, 17.25, 1000)","('33', 3, 3.25, 1000)",9
"('33', 18, 18.25, 1000)","('33', 3, 3.25, 1000)",9
"('33', 19, 19.25, 1000)","('33', 0, 0.25, 1000)",9
"('33', 20, 20.25, 1000)","('33', 0, 0.25, 1000)",9
"('33', 21, 21.25, 1000)","('33', 0, 0.25, 1000)",9
"('33', 22, 22.25, 1000)","('33', 6, 6.25, 1000)",9
"('33', 23, 23.25, 1000)","('33', 1, 1.25, 1000)",9
"('33', 24, 24.25, 1000)","('33', 0, 0.25, 1000)",9
"('33', 25, 25.25, 1000)","('33', 1, 1.25, 1000)",9
"('33', 26, 26.25, 1000)","('33', 1, 1.25, 1000)",10
"('33', 27, 27.25, 1000)","('33', 0, 0.25, 1000)",10
"('33', 28, 28.25, 1000)","('33', 0, 0.25, 1000)",10
"('33', 29, 29.25, 1000)","('33', 0, 0.25, 1000)",11
"('33', 30, 30.25, 1000)","('33', 0, 0.25, 1000)",11
"('33', 31, 31.25, 1000)","('33', 0, 0.25, 1000)",12
"('33', 32, 32.25, 1000)","('33', 0, 0.25, 1000)",14
"('33', 33, 33.25, 1000)","('28', 15, 15.25, 1000)",14
"('34', 0, 0.25, 1000)","('34', 2, 2.25, 1000)",7
"('34', 1, 1.25, 1000)","('34', 2, 2.25, 1000)",8
"('34', 2, 2.25, 1000)","('34', 0, 0.25, 1000)",8
"('34', 3, 3.25, 1000)","('34', 0, 0.25, 1000)",12
"('34', 4, 4.25, 1000)","('34', 3, 3.25, 1000)",14
"('34', 5, 5.25, 1000)","('34', 4, 4.25, 1000)",14
"('36', 0, 0.25, 1000)","('36', 2, 2.25, 1000)",1
"('36', 1, 1.25, 1000)","('36', 2, 2.25, 1000)",1
"('36', 2, 2.25, 1000)","('28', 0, 0.25, 1000)",1
"('36', 3, 3.25, 1000)","('36', 1, 1.25, 1000)",1
"('36', 4, 4.25, 1000)","('12', 51, 51.25, 1000)",1
"('36', 5, 5.25, 1000)","('36', 3, 3.25, 1000)",5
"('36', 6, 6.25, 1000)","('36', 0, 0.25, 1000)",5
"('36', 7, 7.25, 1000)","('12', 19, 19.25, 1000)",5
"('36', 8, 8.25, 1000)","('36', 12, 12.25, 1000)",5
"('36', 9, 9.25, 1000)","('36', 7, 7.25, 1000)",6
"('36', 10, 10.25, 1000)","('36', 11, 11.25, 1000)",7
"('36', 11, 11.25, 1000)","('36', 10, 10.25, 1000)",7
"('36', 12, 12.25, 1000)","('36', 5, 5.25, 1000)",7
"('36', 13, 13.25, 1000)","('36', 0, 0.25, 1000)",7
"('36', 14, 14.25, 1000)","('28', 0, 0.25, 1000)",7
"('36', 15, 15.25, 1000)","('28', 5, 5.25, 1000)",7
"('36', 16, 16.25, 1000)","('28', 0, 0.25, 1000)",7
"('36', 17, 17.25, 1000)","('1', 6, 6.25, 1000)",7
"('36', 18, 18.25, 1000)","('36', 3, 3.25, 1000)",8
"('36', 19, 19.25, 1000)","('28', 0, 0.25, 1000)",8
"('36', 20, 20.25, 1000)","('36', 2, 2.25, 1000)",8
"('36', 21, 21.25, 1000)","('36', 20, 20.25, 1000)",8
"('36', 22, 22.25, 1000)","('36', 2, 2.25, 1000)",8
"('36', 23, 23.25, 1000)","('1', 1, 1.25, 1000)",8
"('36', 24, 24.25, 1000)","('28', 0, 0.25, 1000)",10
"('36', 25, 25.25, 1000)","('36', 18, 18.25, 1000)",12
"('36', 26, 26.25, 1000)","('28', 0, 0.25, 1000)",13
"('36', 27, 27.25, 1000)","('36', 0, 0.25, 1000)",13
"('36', 28, 28.25, 1000)","('36', 0, 0.25, 1000)",14
"('36', 29, 29.25, 1000)","('36', 0, 0.25, 1000)",14
"('36', 30, 30.25, 1000)","('36', 5, 5.25, 1000)",14
"('36', 31, 31.25, 1000)","('36', 3, 3.25, 1000)",14
"('36', 32, 32.25, 1000)","('36', 0, 0.25, 1000)",14
"('36', 33, 33.25, 1000)","('36', 0, 0.25, 1000)",14
"('36', 34, 34.25, 1000)","('36', 13, 13.25, 1000)",14
"('37', 0, 0.25, 1000)","('37', 3, 3.25, 1000)",5
"('37', 1, 1.25, 1000)","('37', 2, 2.25, 1000)",5
"('37', 2, 2.25, 1000)","('37', 1, 1.25, 1000)",5
"('37', 3, 3.25, 1000)","('37', 0, 0.25, 1000)",5
"('37', 4, 4.25, 1000)","('37', 1, 1.25, 1000)",14
