partition,col,length,network
1,0,23,1
1,24,1,2
1,26,6,3
1,33,3,4
1,37,1,8
3,0,1,5
3,3,2,14
4,0,5,3
4,6,1,5
4,8,2,8
4,11,4,9
4,16,12,10
4,29,1,11
4,31,3,14
6,0,1,5
7,0,1,5
8,0,5,1
8,7,14,5
8,22,3,6
8,26,6,8
8,33,1,9
8,35,1,11
8,37,5,12
10,0,2,5
10,3,3,13
10,7,2,14
11,1,23,5
11,25,11,8
11,37,9,9
12,0,1,2
12,2,6,4
12,9,4,5
12,14,1,11
16,2,30,7
16,35,3,12
16,39,5,14
18,1,1,14
20,0,1,14
