partition,col,length,network
1,0,20,1
1,23,3,8
1,28,4,12
2,2,1,10
4,0,1,2
4,2,6,4
4,9,1,11
5,0,3,1
5,4,1,2
5,7,4,4
5,12,1,5
5,14,3,8
5,19,3,11
6,0,1,5
7,0,1,5
9,0,9,5
10,0,9,5
10,10,10,8
10,21,4,9
15,0,1,5
16,2,3,13
16,6,4,14
18,0,3,5
18,4,1,6
18,6,28,7
18,36,4,12
18,41,5,14
19,0,12,5
20,0,4,1
20,5,12,3
20,18,1,5
20,21,4,8
20,26,10,9
20,37,10,10
20,48,2,11
20,52,2,14
24,0,1,5
24,2,2,14
